300 4 4
75 75 75 75
82 49 32 84
63 36 87 68
56 36 96 11
58 56 16 38
22 27 24 3
85 49 47 1
15 76 10 68
37 12 73 11
30 50 25 38
70 10 6 86
97 94 30 92
98 37 72 97
75 68 50 100
55 62 35 47
68 47 85 82
50 47 54 32
88 67 23 75
34 49 38 87
31 36 77 23
65 33 52 70
24 61 84 60
54 51 90 29
71 52 14 45
4 70 18 58
2 1 79 58
93 59 61 42
2 58 60 78
58 61 66 28
74 44 72 1
76 16 90 4
65 67 38 57
55 98 82 40
63 47 53 48
80 100 53 45
25 55 43 17
75 70 63 40
27 20 67 1
78 75 71 33
16 70 4 46
35 72 12 78
9 98 27 91
69 75 16 30
93 81 61 26
77 78 64 33
95 80 63 97
49 65 60 3
30 14 94 22
30 5 69 1
60 78 46 21
63 33 19 1
14 37 61 79
76 42 7 90
38 43 48 4
5 59 36 77
1 28 89 49
81 70 64 75
62 95 84 96
96 10 67 95
64 88 78 31
44 48 27 66
34 28 81 62
5 18 4 66
87 44 54 49
2 93 54 30
68 26 36 53
62 85 96 71
76 94 34 29
54 23 55 29
63 47 97 4
95 61 11 26
100 43 47 28
38 89 50 14
42 22 35 96
74 63 94 18
48 76 58 53
37 79 43 28
27 22 38 53
76 59 71 87
29 32 55 31
31 10 60 74
83 38 94 99
45 89 43 90
73 5 35 79
74 81 16 86
88 32 3 43
95 62 28 96
87 48 54 14
25 27 46 64
81 94 70 39
88 79 91 71
3 11 78 67
2 30 51 16
31 78 30 62
66 42 32 93
83 75 95 45
87 29 20 66
90 48 57 59
54 81 46 56
26 23 28 80
55 86 70 64
58 83 1 25
14 69 51 8
17 2 13 38
59 56 52 57
35 11 6 46
81 58 93 68
83 31 75 17
27 7 75 76
97 2 67 68
37 2 3 88
100 93 64 96
30 50 9 77
38 74 59 38
78 99 45 89
95 75 4 81
53 13 92 91
50 74 5 68
8 19 10 41
3 91 84 94
36 31 20 41
69 65 21 64
32 53 4 22
23 54 71 66
25 77 49 59
51 86 96 90
83 54 81 13
25 37 72 75
86 5 65 68
23 28 51 93
34 88 64 79
54 68 100 76
31 43 79 78
58 70 31 56
53 80 21 85
92 28 5 84
9 89 86 32
26 36 78 23
39 76 25 93
9 77 4 56
10 63 44 70
71 18 36 43
6 96 64 97
77 86 72 13
29 62 26 46
60 15 40 88
44 2 40 47
75 91 35 64
45 66 85 65
66 31 30 97
25 57 23 96
47 60 30 78
65 50 94 66
15 3 54 87
94 100 84 45
64 81 55 54
73 49 100 25
67 82 100 87
100 14 83 11
32 54 94 28
54 24 51 17
67 34 7 47
13 9 48 90
100 17 35 95
20 88 42 81
29 14 11 69
78 92 99 48
23 71 48 62
3 28 26 53
82 42 71 5
60 62 61 98
21 32 76 8
64 84 48 3
57 59 28 84
25 84 32 17
93 93 73 88
59 35 51 35
39 90 43 10
8 92 32 37
22 8 59 30
23 28 90 93
47 78 73 78
22 71 6 82
43 81 17 93
13 24 29 33
90 31 18 66
51 67 19 82
3 88 16 3
67 87 47 98
47 35 8 49
84 74 91 28
74 96 73 53
22 83 18 59
28 86 72 82
34 52 29 6
63 15 31 89
50 27 9 59
50 86 33 12
1 23 7 67
81 53 92 52
56 38 46 23
98 52 86 56
10 91 31 87
1 97 56 9
80 46 2 73
7 1 15 2
6 52 59 56
77 96 18 38
77 4 50 7
20 34 81 86
17 16 5 50
53 87 66 6
97 47 40 85
70 6 49 89
70 25 93 47
36 97 48 98
36 66 40 76
41 98 91 3
87 84 8 20
52 4 29 37
93 24 100 11
51 56 29 25
19 81 80 65
68 78 18 59
96 82 84 4
14 55 49 22
75 33 73 16
6 66 100 82
41 78 22 74
21 21 56 15
77 6 17 98
11 68 14 19
85 8 26 31
2 69 6 36
15 71 26 56
16 54 51 91
64 60 35 74
15 12 67 11
33 31 69 28
58 72 3 91
66 55 19 41
2 83 72 13
2 81 30 96
100 98 14 39
17 36 10 80
79 22 89 34
36 50 17 76
95 75 97 87
38 66 95 68
98 81 84 37
93 59 57 90
57 93 53 23
1 76 35 48
32 95 15 20
13 74 46 76
79 63 41 17
62 19 48 24
41 67 96 61
44 71 80 78
52 32 66 71
98 72 13 63
57 20 11 85
9 96 47 76
33 80 15 13
10 52 47 57
50 69 94 94
59 38 95 95
19 72 3 84
36 76 93 3
15 50 47 29
60 93 57 55
64 93 76 84
35 25 81 29
39 75 40 3
76 47 64 5
1 22 18 100
72 69 15 39
86 45 45 50
82 45 6 81
13 2 17 93
77 88 15 19
68 85 40 52
70 84 84 68
4 52 38 79
7 49 92 44
33 42 62 90
91 83 8 76
23 60 51 56
81 90 82 55
26 97 29 58
83 92 86 20
83 34 64 25
19 50 6 38
91 49 96 10
44 62 62 19
38 24 20 70
51 9 96 69
27 9 96 71
82 61 48 89
51 3 92 18
31 78 37 60
