40 5 4
10 10 10 10
99 83 17 65 76
2 4 33 10 58
4 94 20 58 50
80 79 60 88 95
5 5 91 64 61
19 51 38 36 18
67 75 28 15 36
18 42 31 57 38
96 57 99 6 15
42 45 97 18 48
31 65 15 10 93
39 72 40 34 44
5 2 30 88 12
12 88 80 92 92
6 15 78 29 48
88 79 19 48 51
70 55 43 13 56
68 30 79 37 39
77 58 80 13 38
62 49 1 54 38
23 56 85 28 31
67 75 100 6 36
33 13 85 49 71
24 19 99 98 39
36 61 88 98 6
52 54 69 73 16
21 13 89 37 73
86 73 55 69 37
17 7 54 60 19
86 65 63 89 86
32 27 63 46 89
36 3 36 74 75
97 16 78 99 87
86 94 17 12 39
90 27 51 67 54
3 79 38 88 24
54 74 29 90 83
22 36 11 63 60
48 74 69 24 45
35 72 6 49 63
